#{"t_start": 1747068277.7986002, "env_id": "None"}
r,l,t
-4.497416,7,986.370367
-3.497416,6,986.879367
-4.49789,6,987.084282
-8.497416,11,988.308727
-28.497416,31,989.09225
-2.495733,5,989.633651
-5.497802,9,990.669403
-17.342521,22,992.550414
-4.11164,8,993.460866
-12.11164,16,994.429821
-1.497416,4,994.85797
-9.11164,13,995.746879
-3.11164,7,996.373962
-46.747809,55,1002.136447
-4.423941,15,1002.822373
-0.747809,9,1005.305224
-23.11164,27,1006.111336
-6.111269,11,1007.521401
-0.461174,2,1009.291609
-5.11164,9,1010.263372
-0.497416,3,1010.860093
-13.11164,17,1012.127353
-5.11164,9,1012.933646
-14.11164,18,1013.698511
-6.11164,10,1014.556326
-4.421107,8,1015.449037
-1.11164,5,1016.460141
-5.497416,8,1018.030754
-5.11164,9,1018.896201
-1.11164,5,1019.864494
-6.497416,9,1020.313137
-7.497416,10,1020.957009
-2.49789,4,1021.20425
-11.497416,14,1021.877314
-4.497416,7,1022.332314
-30.069785,34,1025.153382
-1.472523,5,1026.107928
-11.472523,15,1027.151104
-4.472523,8,1028.200696
-1.11164,5,1029.153887
-2.497416,5,1029.760535
-2.11164,6,1030.523572
-1.11164,5,1031.322957
-1.11164,5,1032.227385
-9.58228,15,1033.654127
-8.462375,12,1034.431653
-27.462375,31,1035.395255
-15.15677,20,1036.647716
-17.462375,21,1037.666695
-7.11164,11,1040.689126
-1.497416,4,1041.347469
-22.11164,26,1043.787332
-11.11164,15,1044.958847
-6.497416,9,1047.095322
-6.11164,10,1049.461007
-26.11164,30,1051.652291
-6.497416,9,1054.984011
-0.497416,3,1058.180882
-3.497416,6,1061.458129
-15.497416,18,1062.933378
-24.497416,27,1064.005791
-16.497416,19,1065.654646
-19.497416,22,1067.329653
-4.497416,7,1069.914208
-16.497416,19,1071.613961
-14.497416,17,1074.609166
-4.497416,7,1076.65654
-6.497416,9,1078.447701
-6.497416,9,1079.995268
-11.497416,14,1085.211812
-11.221809,15,1094.611256
-10.11164,14,1098.27169
-1.497416,4,1100.893842
-2.497416,5,1103.663772
-3.49789,5,1105.343961
-21.11164,25,1109.095508
-8.497416,11,1111.932989
-23.497416,26,1114.252936
-3.497416,6,1116.823631
-10.497367,14,1120.50458
-11.497416,14,1123.186392
-12.11164,16,1126.464628
-17.071958,22,1129.44074
-12.11164,16,1131.445168
-12.11164,16,1133.623294
-8.11164,12,1135.753582
-2.49789,4,1136.297081
-13.11164,17,1137.345276
-1.11164,5,1138.527196
-13.11164,17,1139.432918
-27.497416,30,1140.221457
-49.11164,53,1141.043065
-9.11164,13,1142.046933
-2.11164,6,1142.906042
-6.747809,14,1145.674263
-3.497416,6,1146.421736
-1.747809,9,1147.894049
-5.11164,9,1149.674755
-10.11164,14,1150.560541
-1.11164,5,1151.405164
-4.11164,8,1152.303826
-48.424864,50,1152.796685
-13.497416,16,1153.373271
-16.497416,19,1154.043316
-0.497416,3,1154.669626
-6.497416,9,1155.223559
-4.497416,7,1156.172731
-0.497416,3,1157.154141
-3.497416,6,1157.88231
-2.497416,5,1158.42675
-2.497416,5,1158.987503
-27.497416,30,1159.990263
-16.497416,19,1160.632172
-12.497416,15,1161.169604
-18.497416,21,1161.702512
